,Filename,Scene Type,Time of Day,Mood,Suggested Tags,Notes,Script File,Index
18,bg005d.png,School Hallway,Late Night (Lights Off),"Quiet, eerie, introspective","{emote:quiet}, {emote:eerie}, {emote:reflective}","Used in scenes with no lighting except emergency lamps. Described as perfect for ghost stories. Dim, silent atmosphere.",arcana002.ks,82
19,bg005d.png,School Hallway,Late Night (Lights Off),"Quiet, eerie, introspective","{emote:quiet}, {emote:eerie}, {emote:reflective}","Used in scenes with no lighting except emergency lamps. Described as perfect for ghost stories. Dim, silent atmosphere.",arcana003.ks,52
20,bg005d.png,School Hallway,Late Night (Lights Off),"Quiet, eerie, slightly playful","{emote:quiet}, {emote:sneaky}, {emote:serious}, {emote:creepy}, {emote:casual}","Used in late-night scenes with lights off. Atmosphere is dim and quiet; one scene involves sneaking out, another references ghost stories.",arcana002.ks,82
21,bg005d.png,School Hallway,Late Night (Lights Off),"Quiet, eerie, slightly playful","{emote:quiet}, {emote:sneaky}, {emote:serious}, {emote:creepy}, {emote:casual}","Used in late-night scenes with lights off. Atmosphere is dim and quiet; one scene involves sneaking out, another references ghost stories.",arcana003.ks,52
25,bg006c.png,Classroom,Night,"Tense, ominous","{emote:serious}, {emote:tense}, {emote:ominous}",Used during tense nighttime scenes involving combat preparation or ominous encounters inside the school classroom.,arcana046.ks,396
26,bg006c.png,Classroom,Night,"Tense, ominous","{emote:serious}, {emote:tense}, {emote:ominous}",Used during tense nighttime scenes involving combat preparation or ominous encounters inside the school classroom.,arcana048.ks,8
27,bg006c.png,Classroom,Night,"Tense, ominous","{emote:serious}, {emote:tense}, {emote:ominous}",Used during tense nighttime scenes involving combat preparation or ominous encounters inside the school classroom.,arcana048.ks,451
28,bg007a.png,Reference Room / Faculty Lounge,Daytime,"Calm, peaceful, reflective","{emote:calm}, {emote:peaceful}, {emote:relaxed}, {emote:routine}","Frequently used for peaceful daytime scenes involving meetings, downtime, or administrative discussions among characters.",arcana033.ks,15
29,bg007a.png,Reference Room / Faculty Lounge,Daytime,"Calm, peaceful, reflective","{emote:calm}, {emote:peaceful}, {emote:relaxed}, {emote:routine}","Frequently used for peaceful daytime scenes involving meetings, downtime, or administrative discussions among characters.",arcana033.ks,1339
30,bg007a.png,Reference Room / Faculty Lounge,Daytime,"Calm, peaceful, reflective","{emote:calm}, {emote:peaceful}, {emote:relaxed}, {emote:routine}","Frequently used for peaceful daytime scenes involving meetings, downtime, or administrative discussions among characters.",arcana044.ks,5
31,bg007a.png,Reference Room / Faculty Lounge,Daytime,"Calm, peaceful, reflective","{emote:calm}, {emote:peaceful}, {emote:relaxed}, {emote:routine}","Frequently used for peaceful daytime scenes involving meetings, downtime, or administrative discussions among characters.",arcana044.ks,212
32,bg007a.png,Reference Room / Faculty Lounge,Daytime,"Calm, peaceful, reflective","{emote:calm}, {emote:peaceful}, {emote:relaxed}, {emote:routine}","Frequently used for peaceful daytime scenes involving meetings, downtime, or administrative discussions among characters.",arcana069.ks,5
33,bg007a.png,Reference Room / Faculty Lounge,Daytime,"Calm, peaceful, reflective","{emote:calm}, {emote:peaceful}, {emote:relaxed}, {emote:routine}","Frequently used for peaceful daytime scenes involving meetings, downtime, or administrative discussions among characters.",arcana069.ks,152
34,bg007a.png,Reference Room / Faculty Lounge,Daytime,"Calm, peaceful, reflective","{emote:calm}, {emote:peaceful}, {emote:relaxed}, {emote:routine}","Frequently used for peaceful daytime scenes involving meetings, downtime, or administrative discussions among characters.",arcana112.ks,7
35,bg007a.png,Reference Room / Faculty Lounge,Daytime,"Calm, peaceful, reflective","{emote:calm}, {emote:peaceful}, {emote:relaxed}, {emote:routine}","Frequently used for peaceful daytime scenes involving meetings, downtime, or administrative discussions among characters.",arcana114.ks,5
36,bg007a.png,Reference Room / Faculty Lounge,Daytime,"Calm, peaceful, reflective","{emote:calm}, {emote:peaceful}, {emote:relaxed}, {emote:routine}","Frequently used for peaceful daytime scenes involving meetings, downtime, or administrative discussions among characters.",arcana116.ks,6
93,bg013a.png,City Plaza,Morning or Early Day,"Busy, Urban, Energetic",{emote:neutral}{emote:alert}{emote:busy},"Modern urban downtown with clean sidewalks, trees, and active street lights. Ideal for daytime city interactions or events.",arcana082.ks,18
94,bg013a.png,City Plaza,Morning or Early Day,"Busy, Urban, Energetic",{emote:neutral}{emote:alert}{emote:busy},"Modern urban downtown with clean sidewalks, trees, and active street lights. Ideal for daytime city interactions or events.",arcana082.ks,48
95,bg013a.png,City Plaza,Morning or Early Day,"Busy, Urban, Energetic",{emote:neutral}{emote:alert}{emote:busy},"Modern urban downtown with clean sidewalks, trees, and active street lights. Ideal for daytime city interactions or events.",arcana082.ks,120
96,bg013a.png,City Plaza,Morning or Early Day,"Busy, Urban, Energetic",{emote:neutral}{emote:alert}{emote:busy},"Modern urban downtown with clean sidewalks, trees, and active street lights. Ideal for daytime city interactions or events.",arcana082.ks,161
97,bg013a.png,City Plaza,Morning or Early Day,"Busy, Urban, Energetic",{emote:neutral}{emote:alert}{emote:busy},"Modern urban downtown with clean sidewalks, trees, and active street lights. Ideal for daytime city interactions or events.",arcana082.ks,251
98,bg013a.png,City Plaza,Morning or Early Day,"Busy, Urban, Energetic",{emote:neutral}{emote:alert}{emote:busy},"Modern urban downtown with clean sidewalks, trees, and active street lights. Ideal for daytime city interactions or events.",arcana082.ks,321
99,bg013a.png,City Plaza,Morning or Early Day,"Busy, Urban, Energetic",{emote:neutral}{emote:alert}{emote:busy},"Modern urban downtown with clean sidewalks, trees, and active street lights. Ideal for daytime city interactions or events.",arcana082.ks,344
100,bg013a.png,City Plaza,Morning or Early Day,"Busy, Urban, Energetic",{emote:neutral}{emote:alert}{emote:busy},"Modern urban downtown with clean sidewalks, trees, and active street lights. Ideal for daytime city interactions or events.",arcana082.ks,383
101,bg013a.png,City Plaza,Morning or Early Day,"Busy, Urban, Energetic",{emote:neutral}{emote:alert}{emote:busy},"Modern urban downtown with clean sidewalks, trees, and active street lights. Ideal for daytime city interactions or events.",arcana082.ks,401
102,bg013a.png,City Plaza,Morning or Early Day,"Busy, Urban, Energetic",{emote:neutral}{emote:alert}{emote:busy},"Modern urban downtown with clean sidewalks, trees, and active street lights. Ideal for daytime city interactions or events.",arcana082.ks,443
103,bg013a.png,City Plaza,Morning or Early Day,"Busy, Urban, Energetic",{emote:neutral}{emote:alert}{emote:busy},"Modern urban downtown with clean sidewalks, trees, and active street lights. Ideal for daytime city interactions or events.",arcana082.ks,468
104,bg013a.png,City Plaza,Morning or Early Day,"Busy, Urban, Energetic",{emote:neutral}{emote:alert}{emote:busy},"Modern urban downtown with clean sidewalks, trees, and active street lights. Ideal for daytime city interactions or events.",arcana082.ks,558
105,bg013a.png,City Plaza,Morning or Early Day,"Busy, Urban, Energetic",{emote:neutral}{emote:alert}{emote:busy},"Modern urban downtown with clean sidewalks, trees, and active street lights. Ideal for daytime city interactions or events.",arcana084.ks,10
106,bg013a.png,City Plaza,Morning or Early Day,"Busy, Urban, Energetic",{emote:neutral}{emote:alert}{emote:busy},"Modern urban downtown with clean sidewalks, trees, and active street lights. Ideal for daytime city interactions or events.",arcana084.ks,219
107,bg013a.png,City Plaza,Morning or Early Day,"Busy, Urban, Energetic",{emote:neutral}{emote:alert}{emote:busy},"Modern urban downtown with clean sidewalks, trees, and active street lights. Ideal for daytime city interactions or events.",arcana084.ks,354
